title:happy, start timestamp:1677472329.130398, stop timestamp:1677472390.103198, headset type:EPOCX, headset serial:E50201C8, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:7810      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1677472329.130398,1677472329.130517,113.000000,0.000000,4226.538574,4212.051270,4252.051270,4246.410156,4244.487305,4276.025879,4263.717773,4283.846191,4474.358887,4237.692383,4454.358887,4450.897461,4323.333496,4396.538574,6775.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.138207,1677472329.138225,114.000000,0.000000,4227.948730,4213.974121,4252.179688,4253.077148,4247.563965,4271.410156,4262.820313,4277.692383,4466.538574,4232.563965,4444.743652,4444.487305,4314.871582,4388.589844,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.146015,1677472329.146133,115.000000,0.000000,4234.230957,4222.307617,4264.358887,4261.410156,4257.948730,4268.846191,4269.487305,4280.769043,4465.128418,4232.692383,4449.743652,4452.051270,4318.077148,4387.948730,6279.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.153823,1677472329.153941,116.000000,0.000000,4235.256348,4224.871582,4268.461426,4264.230957,4257.436035,4276.794922,4275.641113,4287.179688,4464.871582,4235.128418,4458.589844,4453.205078,4323.717773,4392.948730,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.713424,-0.232788,-0.659241,-0.047302,0.968380,-0.267611,0.021975,-109.122749,25.457449,7.030229
1677472329.161631,1677472329.161849,117.000000,0.000000,4231.153809,4224.102539,4255.384766,4260.897461,4247.692383,4278.205078,4270.128418,4287.948730,4462.692383,4240.256348,4456.922852,4446.410156,4324.102539,4390.000000,6775.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.169438,1677472329.169657,118.000000,0.000000,4233.461426,4227.563965,4256.153809,4260.897461,4244.487305,4270.512695,4265.512695,4291.538574,4463.589844,4247.692383,4459.615234,4449.102539,4331.153809,4395.256348,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.177247,1677472329.177465,119.000000,0.000000,4235.512695,4226.666504,4268.461426,4260.256348,4243.461426,4271.153809,4267.563965,4297.179688,4464.487305,4250.256348,4467.948730,4454.871582,4341.153809,4408.589844,6279.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.185055,1677472329.185173,120.000000,0.000000,4230.769043,4218.717773,4265.641113,4253.077148,4236.153809,4275.769043,4268.333496,4295.897461,4461.153809,4249.615234,4468.846191,4453.846191,4339.871582,4405.256348,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.713376,-0.232788,-0.659302,-0.047180,0.960078,-0.276889,0.021487,-109.010475,25.378370,6.943872
1677472329.192863,1677472329.193080,121.000000,0.000000,4228.589844,4214.102539,4257.051270,4248.974121,4230.769043,4275.641113,4267.692383,4293.846191,4459.871582,4251.025879,4469.358887,4450.512695,4337.436035,4393.333496,6775.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.200671,1677472329.200888,122.000000,0.000000,4229.871582,4213.717773,4258.974121,4248.077148,4231.922852,4276.922852,4275.512695,4297.948730,4457.307617,4248.717773,4473.077148,4453.717773,4340.256348,4396.794922,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
